,comp_no_empl,tech_comp_flag,mh_coverage_flag,mh_coverage_awareness_flag,mh_employer_discussion,mh_resources_provided,mh_anonimity_flag,mh_medical_leave,mh_discussion_neg_impact,ph_discussion_neg_impact,mh_discussion_cowork,mh_discussion_supervis,mh_eq_ph_employer,mh_conseq_coworkers,prev_employers_flag,prev_mh_benefits,prev_mh_benefits_awareness,prev_mh_discussion,prev_mh_resources,prev_mh_anonimity,prev_mh_discuss_neg_conseq,prev_ph_discuss_neg_conseq,prev_mh_discussion_cowork,prev_mh_discussion_supervisor,prev_mh_importance_employer,prev_mh_conseq_coworkers,future_ph_specification,why/why_not,future_mh_specification,why/why_not2,mh_hurt_on_career,mh_neg_view_cowork,mh_sharing_friends/fam_flag,mh_bad_response_workplace,mh_family_hist,mh_disorder_past,mh_disorder_current,mh_diagnos_proffesional,mh_sought_proffes_treatm,mh_eff_treat_impact_on_work,mh_not_eff_treat_impact_on_work,age,sex,work_position,remote_flag
50,26-100,1.0,No,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Fear of discrimination,No,Stigma,"Yes, it has",Maybe,Neutral,Maybe/Not sure,I don't know,Yes,Yes,Yes,1,Sometimes,Often,37,Male,Executive Leadership,Never
51,6-25,1.0,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,I was aware of some,None did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Fear of discrimination,Yes,Stigma,Maybe,Maybe,Somewhat open,Maybe/Not sure,Yes,No,No,No,0,Not applicable to me,Not applicable to me,27,Male,Front-end Developer|Back-end Developer|Executive Leadership,Sometimes
52,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,simply because it's important for them to be aware of the situation when I would have physical issues.,Maybe,"mental issues are a bit stigmatic, everyone knows it's there but no-one wants to deal with it. A broken leg isn't that big a deal, but a broken mind is abstract.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Male,Supervisor/Team Lead|Back-end Developer|Front-end Developer|One-person shop,Sometimes
53,More than 1000,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,"I understand that, while they might consciously not act differently if I had a physical issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.",No,"I understand that, while they might consciously not act differently if I had a mental health issue, I'm not at all convinced that people in tech, even those who know what Cognitive Dissonance means, will actually take steps to avoid it.  Furthermore, there's a huge stigma behind it.",Maybe,"No, I don't think they would",Neutral,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Never,Sometimes,36,Male,Supervisor/Team Lead|DevOps/SysAdmin,Sometimes
54,500-1000,0.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"Because, if it were a physical health issue that might affect my job performance, it'd be difficult to hide and a potential might resent the fact that I wasn't forthcoming about it in an interview.",No,"Because, if it were a mental health issue that might affect my job performance, it may be easy to hide, while being forthcoming about it might impact my likelihood to get the job in the first place.","Yes, I think it would",Maybe,Neutral,No,No,Maybe,Maybe,Yes,1,Rarely,Often,34,Male,DevOps/SysAdmin|Back-end Developer,Always
55,More than 1000,0.0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No,1,Some did,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",No,It's too early - I don't want to discuss potential deal breakers until they've decided they want me. ,No,Same reasons. ,Maybe,"No, I don't think they would",Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,31,Female,Other,Sometimes
56,26-100,1.0,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Maybe,Maybe,Yes,1,Rarely,Often,30,Male,Back-end Developer|Front-end Developer,Never
57,100-500,0.0,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No,1,Some did,"No, I only became aware later",None did,Some did,"Yes, always",Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Fear of discrimination,No,Stigma,"Yes, I think it would",Maybe,Somewhat not open,Maybe/Not sure,Yes,Maybe,Maybe,No,0,Sometimes,Often,32,Male,Supervisor/Team Lead,Never
58,6-25,0.0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,It would depend on the issue and the employer.,No,The stigma of the topic.,"No, I don't think it would",Maybe,Somewhat not open,No,I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,40,Female,Back-end Developer|Front-end Developer,Sometimes
59,100-500,0.0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No,1,"No, none did",I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,None did,None of them,Yes,I wouldn't want to risk leaving a current job position for one where such things could be an issue.,Maybe,"If it got in the way of work, it if I needed some accommodation, I would, but, otherwise, it wouldn't seem worth it.",Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No,I don't know,No,No,No,0,Not applicable to me,Not applicable to me,40,Male,Back-end Developer,Sometimes
60,More than 1000,1.0,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,"if the physical issue is obvious at work, it's better not to try to hide.",Maybe,"same thing: If it has impact or if it's visible at work, why trying to hide.","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,I don't know,No,Maybe,No,0,Sometimes,Sometimes,41,Male,Back-end Developer,Sometimes
61,26-100,0.0,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,I don't know,Some of them,Yes,If it were relevant to the role I would mention it,Maybe,"If it would have a direct impact on my ability to perform the role I would feel compelled to mention it, but depending on how understanding I expected the employer to I might not, due to the negative consequences. ","Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Maybe,Yes,1,Rarely,Often,27,Male,DevOps/SysAdmin,Never
62,26-100,1.0,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No,1,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"Yes, at all of my previous employers",None did,None of them,Maybe,Fear of discrimination,Maybe,Stigma,Maybe,"No, I don't think they would",Somewhat open,"Yes, I observed",No,No,No,No,0,Not applicable to me,Not applicable to me,30,Male,Supervisor/Team Lead,Sometimes
63,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,None of them,No,No because it might not get me the job ,No,Won't get the job. ,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",I don't know,Maybe,Maybe,No,0,Not applicable to me,Not applicable to me,29,Male,Front-end Developer|Back-end Developer,Always
64,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,Some did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,Disclosing that cannot help you get the job,No,Disclosing that cannot help you get the job,Maybe,Maybe,Somewhat not open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,38,Male,Other,Sometimes
65,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,No,None of their business.,No,Stigma,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No,No,No,No,0,Not applicable to me,Not applicable to me,35,Male,Supervisor/Team Lead|Back-end Developer|One-person shop,Sometimes
66,6-25,0.0,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes,1,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Yes,Fear of discrimination,No,Stigma,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",Yes,Yes,Yes,Yes,1,Rarely,Often,35,Female,Supervisor/Team Lead,Never
67,More than 1000,1.0,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No,1,"No, none did","Yes, I was aware of all of them",Some did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers",Some of my previous employers,None did,Some of them,Yes,Fear of discrimination,No,Interviews are largely about knowledge / mental capacity. Could be seen as a weaker mental capacity.,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Yes,Yes,Yes,Yes,1,Often,Often,29,Male,Back-end Developer,Always
68,100-500,1.0,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No,1,Some did,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Fear of discrimination,No,Stigma,"Yes, I think it would",Maybe,Somewhat open,No,Yes,Maybe,No,No,0,Not applicable to me,Not applicable to me,28,Male,Front-end Developer,Never
69,26-100,0.0,No,Yes,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,"Yes, they all did",I don't know,None of them,None of them,Some of my previous employers,"Yes, at all of my previous employers","Yes, they all did",None of them,No,It should not effect they way how I work. So it should not have any negative things for the new boss,No,It should not effect they way how I work. So it should not have any negative things for the new boss,Maybe,"Yes, I think they would",Very open,No,I don't know,Yes,Maybe,Yes,1,Rarely,Often,27,Male,Back-end Developer,Sometimes
70,26-100,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,because it might affect my working hours (visiting doctors etc),Maybe,Only if it would affect my work somehow,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),Maybe/Not sure,No,Yes,No,No,1,Not applicable to me,Not applicable to me,39,Male,Back-end Developer,Sometimes
71,100-500,1.0,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No,0,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,To be honest I guess and not to end up with suprises,Maybe,Might have negative influence on getting a job or not,Maybe,Maybe,Somewhat open,No,No,No,No,No,0,Not applicable to me,Not applicable to me,28,Male,Support,Sometimes
72,6-25,0.0,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,Could only hurt my chances,No,Could only hurt my chances,"Yes, I think it would","Yes, I think they would",Not open at all,No,Yes,No,No,No,0,Not applicable to me,Not applicable to me,46,Male,Executive Leadership|Supervisor/Team Lead|Back-end Developer,Sometimes
73,1-5,1.0,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",I don't know,None of them,Yes,Honesty works.,Yes,Again: honesty.,Maybe,"No, I don't think they would",Very open,No,No,Yes,No,Yes,1,Not applicable to me,Not applicable to me,40,Male,Front-end Developer|Back-end Developer,Sometimes
74,26-100,1.0,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,"For physical health issues that may not impact my  daily job, I don't feel the need to divulge them to a prospective employer.",No,I feel uncomfortable discussing such issues with someone I've just met.,Maybe,"No, I don't think they would",Somewhat open,No,Yes,Maybe,Maybe,No,0,Not applicable to me,Sometimes,37,Male,Supervisor/Team Lead|DevOps/SysAdmin|Back-end Developer,Always
